,market_forward_return
20180320,-0.002944
20180321,-0.005325
20180322,-0.033927
20180323,-0.006039
20180326,0.010507
20180327,-0.014008
20180328,0.012248
20180329,0.002647
20180330,-0.001804
20180402,-0.008392
20180403,-0.00176
20180404,0.002294
20180409,0.016578
20180410,0.005567
20180411,-0.008704
20180412,-0.006637
20180413,-0.015322
20180416,-0.014097
20180417,0.008022
20180418,0.008403
20180419,-0.014703
20180420,-0.001149
20180423,0.019855
20180424,-0.003501
20180425,-0.013773
20180426,0.002342
20180427,-0.000342
20180502,0.006388
20180503,-0.003169
20180504,0.014756
20180507,0.007923
20180508,-0.000742
20180509,0.004831
20180510,-0.003512
20180511,0.003404
20180514,0.005698
20180515,-0.007065
20180516,-0.004822
20180517,0.012371
20180518,0.006431
20180521,0.000158
20180522,-0.01412
20180523,-0.004517
20180524,-0.004231
20180525,-0.00198
20180528,-0.004664
20180529,-0.025322
20180530,0.017765
20180531,-0.00657
20180601,0.00522
20180604,0.007445
20180605,0.000313
20180606,-0.001824
20180607,-0.01362
20180608,-0.004683
20180611,0.008851
20180612,-0.009743
20180613,-0.001848
20180614,-0.007312
20180615,-0.037751
20180619,0.00272
20180620,-0.013692
20180621,0.004851
20180622,-0.010528
20180625,-0.005186
20180626,-0.011014
20180627,-0.009342
20180628,0.021716
20180629,-0.025237
20180702,0.004082
20180703,-0.009962
20180704,-0.009149
20180705,0.004882
20180706,0.024709
20180709,0.004446
20180710,-0.017631
20180711,0.02156
20180712,-0.002282
20180713,-0.006055
20180716,-0.005656
20180717,-0.003884
20180718,-0.005278
20180719,0.02046
20180720,0.010699
20180723,0.016093
20180724,-0.000659
20180725,-0.007377
20180726,-0.002995
20180727,-0.001581
20180730,0.002562
20180731,-0.018032
20180801,-0.020007
20180802,-0.009964
20180803,-0.012876
20180806,0.027436
20180807,-0.012702
20180808,0.018335
20180809,0.000332
20180810,-0.003376
20180813,-0.001762
20180814,-0.020751
20180815,-0.006634
20180816,-0.013391
20180817,0.011053
20180820,0.013104
20180821,-0.00703
20180822,0.00369
20180823,0.001764
20180824,0.018857
20180827,-0.001049
20180828,-0.003127
20180829,-0.011396
20180830,-0.004561
20180831,-0.001657
20180903,0.01097
20180904,-0.016812
20180905,-0.004712
20180906,0.003978
20180907,-0.012144
20180910,-0.001755
20180911,-0.003261
20180912,0.011471
20180913,-0.001837
20180914,-0.011133
20180917,0.018162
20180918,0.011445
20180919,-0.000588
20180920,0.025004
20180921,-0.005843
20180925,0.009232
20180926,-0.005358
20180927,0.010594
20180928,-0.037159
20181008,0.001657
20181009,0.001773
20181010,-0.052233
20181011,0.009079
20181012,-0.014889
20181015,-0.008477
20181016,0.006003
20181017,-0.029355
20181018,0.025759
20181019,0.040938
20181022,-0.022619
20181023,0.003264
20181024,0.000194
20181025,-0.001902
20181026,-0.021834
20181029,0.010206
20181030,0.013526
20181031,0.001327
20181101,0.02695
20181102,-0.004127
20181105,-0.002279
20181106,-0.006774
20181107,-0.002162
20181108,-0.013948
20181109,0.012178
20181112,0.009261
20181113,-0.008527
20181114,0.013649
20181115,0.0041
20181116,0.009108
20181119,-0.021327
20181120,0.002136
20181121,-0.00229
20181122,-0.02493
20181123,-0.001424
20181126,-0.000439
20181127,0.010509
20181128,-0.013181
20181129,0.00808
20181130,0.025736
20181203,0.004204
20181204,-0.006059
20181205,-0.01684
20181206,0.000271
20181207,-0.008176
20181210,0.003678
20181211,0.003109
20181212,0.012258
20181213,-0.015303
20181214,0.001632
20181217,-0.008208
20181218,-0.010512
20181219,-0.005215
20181220,-0.007892
20181221,0.004275
20181224,-0.00878
20181225,-0.002605
20181226,-0.006087
20181227,0.004353
